,,,,,,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,,,,,
0210Y,2023cyA     ,            ,01,,90,,,,,自動車等維持,,,,,,10979,15370,16932,18920,15695,16436,13573,20105,16681,12560,16753,16136,15238,11729,14705,12922,18313,12560,14305,17497,20138,17331,18657,22439,10786,8370,7042,11479,17568,21335,18509,16573,15913,20373,20615,13268,13693,22322,15179,7472,7387,8084,14231,14471,19967,16667,19581,13405,14641,16974,14549,10432,15877,13604,12903,10511,12100,19999,15918,16313,9297,10118,17063,15574,14501,14165,,Maintenance of vehicles,,,
0210Y,2023cyA     ,            ,01,,91,,,,通信,,,,,,,9322,10541,10075,11364,10319,11198,10075,10572,10085,9888,10268,11291,9593,8957,10411,11491,11272,9543,10569,10009,11131,11106,11093,9685,9105,8211,9413,9368,9536,11059,10619,10723,9303,11851,13421,9246,9824,9863,9354,9321,10960,7686,9710,9973,9473,10327,10994,9661,9871,9176,9281,9479,13217,8433,8897,9157,8702,9770,10338,11003,8426,9029,8499,9639,9142,8663,,Communication,,,
0210Y,2023cyA     ,            ,01,,92,,,教育,,,,,,,,8169,6415,5979,4001,2770,3966,8378,4556,6519,7754,4511,3736,4724,2652,4189,4318,4260,4985,2754,3931,5243,4627,8351,4096,8247,2554,14748,11015,3693,4084,11478,4590,4642,4586,7270,4888,6886,6778,9153,9593,6638,4834,9625,6519,2565,3187,7237,5377,3598,4987,3353,3603,5013,7187,4194,2989,4160,4331,3525,4759,3174,5123,5698,5154,7881,3261,,Education,,,
0210Y,2023cyA     ,            ,01,,93,,,教養娯楽,,,,,,,,27085,24659,24179,21753,20959,20311,28672,24152,23667,26181,20997,22165,20069,15388,24320,15633,23524,22717,18967,18749,36702,23948,29026,23357,28951,22735,33955,29824,21957,22356,27535,23238,20107,26732,21921,22652,27119,28062,23583,29881,22046,24096,25934,20163,19489,20853,28015,24561,19011,24187,24180,17711,21040,24091,15906,17365,18807,21908,18289,22145,16701,24859,24392,20733,29415,20395,,Culture & recreation,,,
0210Y,2023cyA     ,            ,01,,94,,,,教養娯楽用耐久財,,,,,,,2160,1988,1387,1464,2166,1613,2112,1565,1527,1927,1530,1599,1458,1393,4023,1026,2254,1108,1173,1199,9537,2025,2718,1167,1928,1463,2995,2032,1488,1410,1656,2304,2055,1845,1315,1206,2649,1232,1303,1335,1637,1176,1967,1504,2225,2065,3441,2063,1281,2974,1333,1800,1682,2201,900,619,2495,1657,1507,1158,1681,1946,1398,1348,1686,1228,,Recreational durable goods,,,
0210Y,2023cyA     ,            ,01,,95,,,,教養娯楽用品,,,,,,,5898,5754,6600,5866,5454,5957,6607,5882,5728,5599,5938,6840,4998,4299,5700,4435,5616,6002,5078,4833,8263,5665,7444,5431,6485,4769,6576,5835,6681,5848,7280,4566,5700,6348,6291,5523,5780,6331,4914,5601,4976,4799,5682,4774,5080,4406,8385,6489,5070,3813,6988,5626,5006,4943,3863,5228,4046,4533,4629,6003,3978,6813,5789,5718,5672,5049,,Recreational goods,,,
0210Y,2023cyA     ,            ,01,,96,,,,書籍・他の印刷物,,,,,,,2697,2732,3054,2600,2821,2764,3048,2967,2613,2847,2479,2282,2168,1692,2956,2512,3152,2471,2817,2518,2836,2838,2785,2813,2869,3062,2986,2812,2673,3056,2988,3117,2701,3056,2518,2381,2400,2463,2286,4590,2172,2723,3407,2864,2202,2438,2286,2804,2507,2707,2199,1997,2421,1954,1738,1844,2258,2340,1862,2645,1949,1949,2738,2721,2532,2393,,Books & other reading materials,,,
0210Y,2023cyA     ,            ,01,,97,,,,教養娯楽サービス,,,,,,,16330,14185,13138,11823,10518,9978,16905,13739,13799,15808,11049,11444,11447,8004,11641,7661,12502,13136,9899,10199,16067,13419,16079,13947,17669,13441,21398,19146,11115,12043,15611,13251,9652,15484,11796,13542,16290,18036,15081,18356,13261,15399,14878,11022,9981,11943,13904,13204,10153,14693,13660,8288,11931,14993,9404,9674,10008,13378,10291,12339,9093,14151,14467,10946,19525,11726,,Recreational services,,,
0210Y,2023cyA     ,            ,01,,98,,,,,宿泊料,,,,,,2171,1727,1475,1512,1317,1310,2259,1810,1536,1984,1117,1027,1253,704,1348,493,1702,2091,1307,1118,1434,1955,2494,1414,3508,1145,2829,2541,1670,1825,1935,1897,776,1947,1947,2829,2692,1383,2271,1950,1532,2159,1681,843,645,1099,1229,2042,997,1711,1370,389,1421,1466,1478,963,974,2378,2002,1309,716,1585,2078,1214,2933,1124,,Accommodation services,,,
0210Y,2023cyA     ,            ,01,,99,,,,,パック旅行費,,,,,,2220,1604,1789,1449,1183,900,2039,1373,1762,2529,1627,1317,1445,1487,1006,552,1827,847,328,370,800,1559,2958,1921,1750,1375,3115,2640,1787,477,2510,1399,1125,1760,739,1064,1466,3665,2422,3649,2988,1762,1960,1060,575,395,2319,1685,1637,2171,1343,1209,1230,1632,516,781,1721,665,855,1275,1373,2033,713,1393,4631,1603,,Package tours,,,
0210Y,2023cyA     ,            ,01,,100,,,,,月謝類,,,,,,2365,2076,2135,1270,968,932,2538,1762,2367,2391,1496,1524,1537,1088,1177,850,1231,1288,885,1457,1182,2346,2204,2540,2161,2027,3405,3407,1147,1368,3028,1699,1162,1694,1745,2100,2542,3036,1946,3489,1528,2059,2643,1695,1507,1371,2034,1587,1156,1911,2493,1280,1672,2515,1379,1253,1504,1640,689,1689,1407,1787,1309,2089,1754,1628,,Lesson fees,,,
0210Y,2023cyA     ,            ,01,,101,,,,,他の教養娯楽サービス,,,,,,9573,8777,7740,7592,7050,6836,10069,8794,8133,8904,6810,7577,7212,4725,8110,5765,7742,8909,7379,7254,12651,7559,8423,8073,10250,8895,12050,10558,6511,8373,8137,8256,6589,10082,7365,7549,9589,9952,8442,9268,7214,9419,8595,7423,7255,9079,8321,7891,6363,8900,8454,5410,7609,9381,6031,6677,5810,8695,6745,8067,5597,8746,10366,6250,10207,7372,,Other recreational services,,,
0210Y,2023cyA     ,            ,01,,102,,,その他の消費支出,,,,,,,,43147,44503,45109,46575,42519,41744,43607,52856,43178,45237,44131,50564,46135,36896,40827,37959,42715,36161,43364,40468,45595,55357,48476,44969,44245,41549,42721,47580,45998,48002,44573,50339,41636,54164,49653,43051,45560,48523,41311,44532,34751,43134,50588,38298,36173,43376,50030,43796,43909,59211,45698,31959,43171,51779,37767,46006,41769,57088,48739,45631,43001,41350,42651,39736,45063,51699,,Other consumption expenditures,,,
0210Y,2023cyA     ,            ,01,,103,,,,諸雑費,,,,,,,20787,21093,21686,20855,20572,18802,21272,25349,21089,21567,20962,20867,20448,14923,21499,17861,20973,15744,17843,20396,18314,24605,21757,20557,21700,17520,22201,22015,20702,24231,22527,23656,21918,24150,25969,19592,23488,23354,18663,23680,17223,18913,21864,18578,18844,21400,25500,20773,19630,21650,19735,15556,19835,21262,21210,21924,17349,22036,20660,22264,14457,20205,16744,18547,22829,25237,,Miscellaneous,,,
0210Y,2023cyA     ,            ,01,,104,,,,,理美容サービス,,,,,,3566,3175,2732,2471,2517,2253,3495,3148,3162,3416,2779,2337,2587,1588,2547,2090,2714,2382,2270,2586,2599,2913,3515,3135,3821,3000,4018,5425,3594,3171,3297,2684,2462,3272,3340,3443,4405,3321,2415,3172,2474,3282,3032,2456,2478,2888,3335,3699,2556,2758,2647,1984,3477,3091,2942,2714,2239,3303,1948,1946,1761,3214,3036,2538,2694,3052,,Personal care services,,,
0210Y,2023cyA     ,            ,01,,105,,,,,理美容用品,,,,,,4008,4074,4099,4166,3871,3570,4214,3716,4299,4301,3885,3642,3833,3076,3746,3099,3642,3396,3919,3766,3337,3776,4696,4326,4490,4417,4424,3818,3826,4163,4537,3265,3763,4165,4729,3821,5753,4906,3662,3843,3084,3720,4424,3739,3252,4400,4169,4360,4339,3803,3615,3332,4377,3730,4206,3829,3802,3873,3206,3987,2963,3250,2407,4140,4250,4612,,Personal care goods,,,
0210Y,2023cyA     ,            ,01,,106,,,,,身の回り用品,,,,,,1678,1245,1254,1135,1140,1055,1628,976,1469,1455,1046,809,1151,739,1678,606,1634,1058,828,1236,757,2472,1456,1098,1585,852,1881,2486,1211,1276,1721,898,1607,1197,1671,966,3580,975,1334,1442,873,1930,1060,909,826,1153,1369,1285,938,1039,798,972,1318,1411,1154,1100,762,1602,2383,1094,718,2147,1002,981,1503,1142,,Personal effects,,,
0210Y,2023cyA     ,            ,01,,107,,,,,たばこ,,,,,,1205,1197,1354,1382,1764,1425,1279,1611,1382,990,1228,904,1122,1378,1710,1956,876,627,654,842,895,1325,963,1797,392,1967,1024,821,1668,3153,502,630,1871,1464,2446,425,901,897,963,1439,1813,807,828,1252,1449,2064,998,1173,1393,815,1036,583,1216,1748,706,1390,952,1028,1793,2155,1409,1332,2679,1444,1482,451,,Tobacco,,,
0210Y,2023cyA     ,            ,01,,108,,,,,他の諸雑費,,,,,,10330,11403,12246,11701,11280,10498,10657,15897,10777,11404,12024,13176,11756,8142,11819,10110,12105,8282,10172,11967,10726,14119,11127,10201,11412,7285,10854,9465,10402,12468,12470,16179,12215,14053,13784,10936,8849,13256,10288,13784,8978,9175,12521,10221,10838,10895,15629,10256,10405,13235,11640,8685,9447,11282,12203,12890,9595,12229,11330,13083,7607,10264,7620,9444,12901,15981,,Other miscellaneous,,,
0210Y,2023cyA     ,            ,01,,109,,,,こ    づ    か    い (使途不明),,,,,,,3172,3823,4064,4350,3678,3927,3554,3270,4099,4094,3746,3135,3763,2437,3357,3337,4110,2298,5986,2348,3898,2918,4615,3121,3254,2228,3355,2077,3248,4007,4587,3575,2963,3903,5929,3368,4150,3789,3402,3731,2771,3154,4554,5529,1663,1920,3009,3792,3055,2571,6223,2740,2321,3118,1925,4024,3031,3807,3550,4193,2143,4854,1692,2812,3358,5463,,"Pocket money (of which, detailed uses unknown)",,,
0210Y,2023cyA     ,            ,01,,110,,,,交際費,,,,,,,15901,15529,15896,16299,15409,14293,15647,18023,14876,16881,14432,18467,16469,12949,14268,10807,12560,13515,13808,14236,19230,22831,15881,14291,16780,17080,14976,18295,16272,15239,12245,14656,12208,16770,14218,15280,15940,19259,15874,14512,14141,18193,20995,12578,13041,15468,16647,17425,17924,20397,16855,10835,16033,19772,11406,15168,16565,14235,18304,13990,12036,14506,16479,13773,17237,16981,,Social expenses,,,
0210Y,2023cyA     ,            ,01,,111,,,,,食料,,,,,,4657,4591,4766,4511,4566,4343,4636,6109,4724,4651,4114,4703,4532,3903,3596,3934,4179,4207,4813,5047,5057,5576,4152,4125,4622,4345,4783,4583,4251,5693,3810,4974,3670,4919,4663,5667,6328,5656,4151,4756,3615,5195,3895,5004,3597,3918,4697,3996,5394,6542,4825,2923,6035,5357,3933,4019,4550,3531,4420,5202,2917,4676,4401,3454,5586,5118,,Food,,,
0210Y,2023cyA     ,            ,01,,112,,,,,家具・家事用品,,,,,,149,293,159,103,109,138,170,151,499,119,153,163,155,138,160,187,388,163,183,164,460,144,153,75,264,121,135,157,189,130,372,59,133,124,185,244,220,118,215,187,77,77,100,79,80,72,302,119,120,180,130,133,276,179,212,82,97,258,57,236,122,89,74,198,59,213,,Furniture & household utensils,,,
0210Y,2023cyA     ,            ,01,,113,,,,,被服及び履物,,,,,,357,317,279,275,262,291,326,275,367,267,259,294,409,273,214,185,300,309,254,297,469,621,446,248,409,169,328,420,345,383,447,221,247,220,389,507,331,363,226,323,250,240,261,375,147,102,266,389,941,432,377,348,337,600,202,234,455,502,342,401,220,425,232,739,334,873,,Clothing & footwear,,,
0210Y,2023cyA     ,            ,01,,114,,,,,教養娯楽,,,,,,999,836,1158,746,790,850,1095,1077,974,796,748,778,892,686,809,937,660,570,748,1140,735,756,877,933,796,651,1156,1167,855,642,1097,771,512,1411,1367,1056,877,851,871,858,741,581,716,690,311,658,936,905,1411,703,952,1410,1867,1021,479,929,304,1069,630,552,658,1876,825,1380,1262,1344,,Culture & recreation,,,
0210Y,2023cyA     ,            ,01,,115,,,,,他の物品サービス,,,,,,585,656,426,253,404,373,469,292,519,772,405,490,711,302,296,202,301,413,332,226,225,455,298,371,354,495,493,419,277,437,344,210,536,508,806,633,422,377,329,644,237,1248,401,380,262,197,791,521,412,2535,519,279,571,1818,242,340,877,349,3237,421,226,837,406,399,414,316,,Other goods & services,,,
0210Y,2023cyA     ,            ,01,,116,,,,,贈与金,,,,,,5250,5625,7147,8644,6524,6328,5657,7750,5095,6347,6846,9432,7336,5817,4788,4335,4939,4537,5978,4997,9382,13163,5498,7364,3967,5452,4486,6669,6437,5493,3681,7149,5649,7115,5226,5819,4095,9173,4187,4440,5741,5339,9988,5179,6030,7836,5378,8884,5446,6933,7139,4988,3724,5833,4669,6765,7227,6001,7321,5345,4169,4119,6125,6119,6260,6378,,Money gifts,,,
0210Y,2023cyA     ,            ,01,,117,,,,,他の交際費,,,,,,3904,3211,1961,1767,2755,1971,3293,2370,2698,3930,1908,2607,2434,1830,4404,1027,1793,3316,1499,2365,2901,2117,4457,1174,6368,5847,3597,4880,3918,2461,2493,1271,1462,2472,1582,1353,3666,2721,5895,3304,3479,5513,5634,871,2613,2684,4276,2611,4201,3073,2911,754,3221,4963,1669,2799,3055,2526,2297,1832,3724,2484,4416,1483,3321,2740,,Other social expenses,,,
0210Y,2023cyA     ,            ,01,,118,,,,仕送り金,,,,,,,3288,4057,3463,5070,2860,4722,3134,6214,3115,2694,4990,8095,5456,6587,1703,5952,5073,4604,5727,3488,4154,5003,6223,7000,2511,4720,2189,5194,5776,4526,5213,8452,4547,9341,3536,4810,1982,2121,3372,2610,617,2874,3174,1613,2626,4589,4874,1806,3300,14592,2886,2828,4982,7628,3226,4890,4823,17010,6225,5185,14364,1784,7735,4604,1638,4018,,Remittance,,,
0210Y,2023cyA     ,            ,01,,119,,(再掲),,,,教育関係費,,,,,10586,10230,9522,8749,5898,8132,10924,10742,9608,10514,8874,11089,9613,6104,6036,10117,6605,8091,8359,7500,10166,9888,13847,10683,10292,3729,16621,12744,8793,9515,18234,12570,8934,12149,11051,8879,8850,9766,12464,12156,7379,7251,13432,8665,5514,7951,12729,6985,7856,11505,5764,7081,10484,15009,7479,7743,9124,10719,8418,7187,5255,6438,7034,9976,10209,7829,,(Regrouped) Expenses for education,,,
0210Y,2023cyA     ,            ,01,,120,,(再掲),,,,教養娯楽関係費,,,,,31786,27760,26919,23767,23683,22764,33156,26395,26737,29470,23280,24373,22618,17733,27765,17626,26446,25988,21797,21164,38508,26360,34015,25613,33499,25976,39979,37146,24899,24242,29692,24776,21903,29411,24712,27519,32673,30381,27226,34093,25121,29724,31940,21923,21224,24733,30788,27742,22151,29591,26301,19360,24531,28348,17561,19993,20561,27277,20902,23964,19751,30596,28292,23706,31953,23188,,(Regrouped) Expenses for culture & recreation,,,
0210Y,2023cyA     ,            ,01,,121,,(再掲),,,,情報通信関係費,,,,,12617,14018,13234,14329,13239,14206,13517,14202,13469,13303,12858,14254,12710,11218,13592,14917,14108,12701,15148,13087,12690,14176,14380,13201,12399,11434,12827,13202,12263,15644,14087,15281,12547,13602,17456,12433,12358,14302,13222,13357,12715,11575,13670,13868,13572,14249,13912,12776,13057,13157,12875,11732,16406,11360,11505,12103,11476,15201,13802,14409,10638,12419,13690,12054,13690,12047,,(a),,,
0210Y,2023cyA     ,            ,01,,122,,(再掲),,,,消費支出(除く住居等) 1),,,,,212715,212967,213479,207538,195879,200434,223761,221682,215158,215146,197605,195565,191473,162402,203505,184937,214003,191094,196265,192362,219984,216658,236717,211972,225246,178033,242076,227924,204738,219332,235000,204469,187993,219114,228592,195522,230712,229594,212744,211861,189428,198363,228071,193669,176230,190821,225184,201098,186568,203282,201722,175337,200921,204663,173592,189463,177717,197086,190676,199271,159393,196412,193562,195053,209952,199838,,(b),,,
0210Y,2023cyA     ,            ,01,,123,,(再掲),,,,財・サービス支出計 2),,,,,232448,232501,230825,220891,216593,213941,245048,239566,229794,231753,211973,210221,211175,179382,230228,197970,230011,209241,209458,222487,240939,238788,259603,234026,239597,190628,265693,245005,222415,248054,249104,214260,208818,239452,252741,217015,240119,263911,234133,233487,209787,205103,239179,212253,193473,208244,232225,223883,199450,226266,213830,188762,217890,224137,197362,207321,197173,223503,210293,221885,183363,230708,210682,218948,228899,219502,,(Regrouped) Sum of Goods & Services 1),,,
0210Y,2023cyA     ,            ,01,,124,,,,,,,財(商品),,,,125807,134203,139902,140139,135985,134851,135597,145963,136701,131346,132286,127355,123441,107121,138556,125406,140301,120152,135883,137630,143289,139932,152621,142973,130560,110238,134414,129791,141332,155608,153326,126126,131656,138647,153786,116117,133229,163190,130663,126790,113119,113710,136169,129192,115242,131290,140219,130128,118139,124867,124379,124882,124930,115875,108673,124953,113776,126099,121442,123208,101541,115794,112101,136045,126397,129842,,Goods (commodities),,,
0210Y,2023cyA     ,            ,01,,125,,,,,,,,耐久財,,,13349,15586,16598,15613,17935,11518,14703,19940,15909,15036,15366,15061,15625,6570,22388,6806,11736,12519,12001,20193,20761,16407,21387,18162,16415,10340,13420,12873,15320,24816,19177,10040,18982,18879,28248,8928,14236,34662,16267,14630,8966,8432,15421,16926,11536,18281,17125,16458,8549,15878,11676,15896,12994,10852,12478,12149,12260,21039,12942,11975,7961,10982,11093,18267,16853,18424,,Durable goods,,,
0210Y,2023cyA     ,            ,01,,126,,,,,,,,半耐久財,,,18693,17730,18532,16754,16264,16390,19948,18109,17865,17234,17576,17081,16237,11260,18958,13040,19008,18138,14631,16868,23767,20714,21287,20603,23102,13757,20026,21691,21271,19083,20885,14778,17222,18157,19681,15264,22008,19152,16981,16626,12276,16304,18556,15624,13178,15871,24133,18472,16464,18502,16668,14115,16530,19882,13607,15158,14511,17697,17265,17061,10996,19359,15882,16249,17607,18365,,Semi-durable goods,,,
0210Y,2023cyA     ,            ,01,,127,,,,,,,,非耐久財,,,93765,100888,104772,107772,101787,106942,100946,107914,102927,99077,99344,95213,91580,89292,97211,105560,109558,89496,109251,100570,98761,102811,109948,104207,91043,86141,100967,95226,104741,111709,113265,101307,95452,101612,105858,91925,96984,109376,97415,95533,91878,88974,102192,96642,90528,97138,98962,95198,93126,90488,96035,94872,95406,85141,82588,97646,87005,87364,91235,94172,82584,85453,85127,101528,91937,93052,,Non-durable goods,,,
0210Y,2023cyA     ,            ,01,,128,,,,,,,サービス,,,,106641,98298,90923,80752,80608,79090,109450,93604,93093,100407,79687,82865,87734,72261,91672,72564,89709,89089,73576,84856,97650,98856,106982,91052,109037,80390,131279,115214,81084,92445,95778,88134,77163,100805,98955,100898,106890,100721,103470,106697,96668,91394,103010,83061,78231,76954,92006,93755,81311,101399,89451,63880,92959,108262,88689,82368,83397,97404,88851,98677,81822,114915,98581,82903,102502,89661,,Services,,,
0210Y,2023cyA     ,            ,01,,129,,エ    ン    ゲ    ル    係    数(％),,,,,,,,,27.2,26.9,27.3,27.2,25.3,27.5,27,26.3,28.2,27.7,27.2,25.7,26.4,29.9,24.1,29,26.5,26.8,28.3,25.1,23.1,23.4,25.9,26,25.8,28.5,27.9,26,26.9,26.7,28.3,26.1,26.6,23.9,24.3,26.2,29.2,24.6,27.1,26.7,31.4,30.2,27.1,28.5,25.5,26.2,25.9,27.1,26,23.6,27,31.7,27.7,25.7,26.8,28,27.3,22.9,26.8,25.5,27.6,24.8,27.9,27.7,24.7,26.1,,Engel's coefficient (%),,,
0210Y,2023cyA     ,            ,01,,130,,年間収入(万円),,,,,,,,,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,"Yearly income (in 10,000 yen)",,,
0210Y,2023cyA     ,            ,01,,131,,調整集計世帯数,,,,,,,,,338755,308064,220883,132262,42606,66689,377201,42007,108340,163340,58202,28398,102060,11122,16559,2361,2355,12172,2580,2328,2882,2113,3661,2450,14880,14214,74016,31923,6966,3174,2904,2044,1704,3066,3025,7335,18888,1945,3113,12419,22983,14821,3098,2742,2012,2130,6302,10799,1863,2301,3729,3237,2757,14194,2694,3210,8007,4909,3394,4775,2975,17179,11174,6947,9060,7918,,Adjusted num. of tabulated households,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,注：1) 「住居」のほか，「自動車等購入」，「贈与金」，「仕送り金」を除いている。,,,,,,,,"Note: 1)  Sum of Goods & Services is obtained according to commodity classification,",,,,,,注： この表には川崎市，相模原市，浜松市，堺市及び北九州市も掲載されている。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,　　2)   財・サービス区分別消費支出は，品目分類の結果から集計しており，財・サービス支出計には，,,,,,,,,"              and does not include “Pocket money (of which, detailed uses unknown)”, “Money gifts”, “Other social expenses” and “Remittance”.",,,,,,"Note : Kawasaki-shi, Sagamihara-shi, Hamamatsu-shi, Sakai-shi and Kitakyushu-shi are also shown in this table.   ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,　　　 「こづかい」，「贈与金」，「他の交際費」及び「仕送り金」は含まれていない。,,,,,,,,(a) (Regrouped) Expenses for information & communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"(b) (Regrouped) Consumption expenditures excluding “Housing”, “Purchase of vehicles”, “Money gifts” & “Remittance”",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
